GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
1054,66,36,10,33,0,North,30.04,0,-9999,Clear,0,0,-999,-9999
1095,69.1,39,10,33,6.9,Variable,30.21,0,-9999,Clear,0,0,-999,-9999
1123,54,46.9,10,77,4.6,ENE,30.35,0,-9999,Overcast,0,0,-999,-9999
1170,39,30,10,70,13.8,NW,30.1,0,-9999,Overcast,0,0,31,-9999
1202,88,71.1,10,57,3.5,NNW,29.97,0,-9999,Mostly Cloudy,0,0,-999,93.8
1233,71.1,64.9,10,81,0,North,29.95,0,-9999,Clear,0,0,-999,-9999
1278,84.2,62.6,10,48,4.6,Variable,30.01,0,-9999,Mostly Cloudy,0,0,-999,85
1308,60.1,57,10,90,0,North,30.01,0,-9999,Clear,0,0,-999,-9999
1363,52,50,3,93,11.5,ENE,29.79,0,0.14,Heavy Thunderstorms and Rain,1,0,-999,-9999
1389,66.9,45,10,45,5.8,SSW,30.25,0,-9999,Clear,0,0,-999,-9999
1410,53.1,32,10,45,10.4,NW,30.08,0,-9999,Clear,0,0,-999,-9999
1455,73.9,52,10,46,4.6,ESE,30.2,0,-9999,Clear,0,0,-999,-9999
1492,71.1,61,10,70,10.4,NE,29.76,0,-9999,Overcast,0,0,-999,-9999
1508,71.1,57,10,61,6.9,NNW,29.98,0,-9999,Overcast,0,0,-999,-9999
1552,64.9,62.1,10,90,6.9,ENE,29.96,0,0,Light Rain,1,0,-999,-9999
1590,48.9,26.1,10,41,13.8,NW,30.06,0,-9999,Clear,0,0,-999,-9999
1605,73,55,10,53,8.1,SSE,30.09,0,-9999,Mostly Cloudy,0,0,-999,-9999
1674,75,64.9,10,71,5.8,South,30.03,0,-9999,Overcast,0,0,-999,-9999
1682,87.1,66,10,49,6.9,NNW,30.07,0,-9999,Clear,0,0,-999,89.2
1731,78.1,-9999,10,N/A,4.6,NNW,30.05,0,-9999,Clear,0,0,-999,-9999
1783,75,33.1,10,22,5.8,NW,30.2,0,-9999,Clear,0,0,-999,-9999
1790,82,52,10,35,6.9,SSW,30.13,0,-9999,Clear,0,0,-999,-9999
1845,57.9,30,10,35,8.1,South,30.18,0,-9999,Clear,0,0,-999,-9999
1859,45,42.1,3,90,10.4,East,30.08,0,0.01,Light Rain,1,0,39.7,-9999
1900,39.9,36,10,86,8.1,WNW,30.27,0,0,Light Rain,1,0,34.5,-9999
3,79,55.9,-9999,45,-9999,North,29.95,0,-9999,Unknown,0,0,-999,-9999
33,75,62.1,-9999,64,-9999,North,29.6,0,-9999,Unknown,0,0,-999,-9999
63,66,39,-9999,37,-9999,North,30.22,0,-9999,Unknown,0,0,-999,-9999
104,54,41,-9999,62,-9999,North,30.14,0,0.01,Unknown,0,0,-999,-9999
146,57.9,39.9,-9999,51,-9999,North,30.27,0,-9999,Unknown,0,0,-999,-9999
175,54,43,-9999,66,-9999,North,29.79,0,-9999,Unknown,0,0,-999,-9999
195,41,37.9,-9999,89,-9999,North,29.94,0,0.18,Unknown,0,0,-999,-9999
211,34,16,-9999,48,-9999,North,29.95,0,-9999,Unknown,0,0,-999,-9999
277,69.1,55.9,-9999,63,-9999,North,30.02,0,-9999,Unknown,0,0,-999,-9999
333,73.9,50,-9999,43,-9999,North,30.06,0,-9999,Unknown,0,0,-999,-9999
359,52,25,-9999,35,-9999,North,30.24,0,-9999,Unknown,0,0,-999,-9999
410,45,28.9,-9999,53,-9999,North,30.39,0,-9999,Unknown,0,0,-999,-9999
431,33.1,14,-9999,46,-9999,North,29.85,0,-9999,Unknown,0,0,-999,-9999
459,36,18,-9999,48,-9999,North,29.99,0,-9999,Unknown,0,0,-999,-9999
482,81,68,-9999,65,-9999,North,30.06,0,-9999,Unknown,0,0,-999,83.8
543,51.1,44.1,-9999,77,-9999,North,29.93,0,-9999,Unknown,0,0,-999,-9999
566,73,39.9,-9999,30,-9999,North,29.8,0,-9999,Unknown,0,0,-999,-9999
589,52,27,-9999,38,-9999,North,30.3,0,-9999,Unknown,0,0,-999,-9999
632,69.1,48.9,-9999,49,-9999,North,30.15,0,-9999,Unknown,0,0,-999,-9999
643,53.1,34,-9999,48,-9999,North,30.25,0,-9999,Unknown,0,0,-999,-9999
678,44.1,15.1,-9999,31,-9999,North,-9999,0,-9999,Unknown,0,0,-999,-9999
708,45,18,-9999,34,-9999,North,30.39,0,-9999,Unknown,0,0,-999,-9999
735,72,46,-9999,40,-9999,North,30.11,0,-9999,Unknown,0,0,-999,-9999
767,64.9,41,-9999,42,-9999,North,30.14,0,-9999,Unknown,0,0,-999,-9999
769,75.9,63,-9999,64,-9999,North,30.12,0,-9999,Unknown,0,0,-999,-9999
805,75,48.9,-9999,40,-9999,North,30.11,0,-9999,Unknown,0,0,-999,-9999
858,66,46,-9999,48,-9999,North,30.4,0,-9999,Unknown,0,0,-999,-9999
908,52,45,-9999,77,-9999,North,30.16,0,-9999,Unknown,0,0,-999,-9999
936,54,42.1,-9999,64,-9999,North,29.93,0,-9999,Unknown,0,0,-999,-9999
955,46.9,18,-9999,32,-9999,North,29.91,0,-9999,Unknown,0,0,-999,-9999
979,75.9,50,-9999,40,-9999,North,30.18,0,-9999,Unknown,0,0,-999,-9999
994,72,48.9,-9999,44,-9999,North,29.83,0,-9999,Unknown,0,0,-999,-9999
1039,66,55,-9999,68,-9999,North,30.31,0,-9999,Unknown,0,0,-999,-9999
1096,62.1,28,-9999,28,-9999,North,29.99,0,-9999,Unknown,0,0,-999,-9999
